"id","name","streetAddress","city","state","country","postal"
"on-public:B66052:895407","Bloor Collegiate Institute","725 Bathurst St","Toronto","Ontario","Canada","M5S 2R5"
"on-public:B66176:895458","Bluevale Collegiate Institute","80 Bluevale St N","Waterloo","Ontario","Canada","N2J 3R5"
"on-public:B66079:895539","Bowmanville High School","49 Liberty St N","Bowmanville","Ontario","Canada","L1C 2L8"
"on-public:B66087:895660","Bracebridge and Muskoka Lakes Secondary School","100 Clear Brook Trail","Bracebridge","Ontario","Canada","P1L 0A3"
"on-public:B66109:895792","Bradford District High School","70 Professor Day Dr","Bradford","Ontario","Canada","L3Z 3B9"
"on-public:B66125:895920","Bramalea Secondary School","510 Balmoral Dr","Brampton","Ontario","Canada","L6T 1W4"
"on-public:B66125:896055","Brampton Centennial Secondary School","251 McMurchy Ave S","Brampton","Ontario","Canada","L6Y 1Z4"
"on-public:B66168:896187","Brantford Collegiate Institute and Vocational School","120 Brant Ave","Brantford","Ontario","Canada","N3T 3H3"
"on-public:B67059:690961","Brebeuf College School","211 Steeles Ave E","Toronto","Ontario","Canada","M2M 3Y6"
"on-public:B66060:896446","Brock High School","C1590 CONCESSION 12 RR1","CANNINGTON","Ontario","Canada","L0E 1E0"
"on-public:B66192:896578","Brockville Collegiate Institute","90 Pearl Street East","Brockville","Ontario","Canada","K6V 1P8"
"on-public:B66184:896705","Brookfield High School","824 Brookfield Rd","Ottawa","Ontario","Canada","K1V 6J3"
"on-public:B66060:934991","Brooklin High School","20 Carnwith Drive","Whitby","Ontario","Canada","L1M 0K7"
"on-public:B66001:896969","Bruce Peninsula District School","5 Moore St","Lion s Head","Ontario","Canada","N0H 1W0"
"on-public:B66095:933346","Bur Oak Secondary School","933 Bur Oak Avenue","Markham","Ontario","Canada","L6E 1G4"
"on-public:B66133:897353","Burlington Central High School","1433 Baldwin St","Burlington","Ontario","Canada","L7S 1K4"
"on-public:B66052:897485","Burnhamthorpe Collegiate Institute","500 The East Mall","Etobicoke","Ontario","Canada","M9B 2C4"
"on-public:B66052:897744","C W Jefferys Collegiate Institute","340 Sentinel Rd","North York","Ontario","Canada","M3J 1T9"
"on-public:B66184:906514","Cairine Wilson Secondary School","975 Orleans Blvd","Orleans","Ontario","Canada","K1C 2Z5"
"on-public:B66052:890529","CALC Secondary School","1 Danforth Ave","Toronto","Ontario","Canada","M4K 1M8"
"on-public:B66176:898090","Cameron Heights Collegiate Institute","301 Charles St E","Kitchener","Ontario","Canada","N2G 2P8"
"on-public:B66079:898260","Campbellford District High School","119 Ranney St N","Campbellford","Ontario","Canada","K0L 1L0"
"on-public:B66184:898317","Canterbury High School","900 Canterbury Ave","Ottawa","Ontario","Canada","K1G 3A7"
"on-public:B67083:749813","Cardinal Ambrozic Catholic Secondary School","10 Castle Oaks Crossing","Brampton","Ontario","Canada","L6P 3A2"
"on-public:B67059:694550","Cardinal Carter Academy for the Arts","36 Greenfield Ave","Toronto","Ontario","Canada","M2N 3C8"
"on-public:B67075:728632","Cardinal Carter Catholic Secondary School","210 Bloomington Rd W","Aurora","Ontario","Canada","L4G 3G9"
"on-public:B67024:694452","Cardinal Carter Catholic Secondary School","120 Ellison Ave","Leamington","Ontario","Canada","N8H 5C7"
