"id","name","streetAddress","city","state","country","postal"
"on-public:B67059:702935","Dante Alighieri Academy","2 St. Andrews Blvd.","Etobicoke","Ontario","Canada","M9R 1V8"
"on-public:B66052:903590","David and Mary Thomson Collegiate Institute","125 Brockley Drive","Scarborough","Ontario","Canada","M1P 0E1"
"on-public:B66125:909673","David Suzuki Secondary School","45 Daviselm Drive","Brampton","Ontario","Canada","L6X 0Z3"
"on-public:B66117:953571","Day School -Wellington Centre - ContEd","1428 Gordon St","Guelph","Ontario","Canada","N1L 1C8"
"on-public:B66168:903728","Delhi District Secondary School","393 James St","Delhi","Ontario","Canada","N4B 2B6"
"on-public:B66052:892483","Delphi Secondary Alternative School","109 Chartland Blvd S","Scarborough","Ontario","Canada","M1S 2R7"
"on-public:B67156:703796","Denis Morris Catholic High School","40 Glen Morris Dr","St Catharines","Ontario","Canada","L2T 2M9"
"on-public:B66052:904112","Don Mills Collegiate Institute","15 The Donway E","North York","Ontario","Canada","M3C 1X6"
"on-public:B66060:904392","Donald A Wilson Secondary School","681 Rossland Rd. W","Whitby","Ontario","Canada","L1P 1Y1"
"on-public:B66052:904635","Downsview Secondary School","7 Hawksdale Rd","North York","Ontario","Canada","M3K 1W3"
"on-public:B66133:893675","Dr. Frank J. Hayden Secondary School","3040 Tim Dobbie Drive","Burlington","Ontario","Canada","L7M 0M3"
"on-public:B66095:905020","Dr G W Williams Secondary School","11 Spring Farm Rd","Aurora","Ontario","Canada","L4G 7W2"
"on-public:B66095:904970","Dr John M Denison Secondary School","135 Bristol Rd","Newmarket","Ontario","Canada","L3Y 8J7"
"on-public:B66052:937592","Dr Norman Bethune Collegiate Institute","200 Fundy Bay Blvd","Toronto","Ontario","Canada","M1W 3G1"
"on-public:B28045:905283","Dryden High School","79 Casimir Ave","Dryden","Ontario","Canada","P8N 2H4"
"on-public:B66150:935455","DSBN Academy","130 Louth Street","St. Catharines","Ontario","Canada","L2S 2T4"
"on-public:B66060:905674","Dunbarton High School","655 Sheppard Ave","Pickering","Ontario","Canada","L1V 1G2"
"on-public:B66141:916579","Dundas Valley Secondary School","310 Governor's Road","Dundas","Ontario","Canada","L9H 5P8"
"on-public:B66168:906069","Dunnville Secondary School","110 Helena St","Dunnville","Ontario","Canada","N1A 2S5"
"on-public:B66150:906328","E L Crossley Secondary School","350 20 Hwy","Fonthill","Ontario","Canada","L0S 1E0"
"on-public:B66052:906450","Earl Haig Secondary School","100 Princess Ave","North York","Ontario","Canada","M2N 3R7"
"on-public:B66184:906484","Earl of March Secondary School","No. 4 The Parkway","Kanata","Ontario","Canada","K2K 1Y4"
"on-public:B66044:906581","East Elgin Secondary School","362 Talbot St W","Aylmer","Ontario","Canada","N5H 1K6"
"on-public:B66079:906719","East Northumberland Secondary School","71 Dundas St","Brighton","Ontario","Canada","K0K 1H0"
"on-public:B66052:906875","East York Alternative Secondary School","670 Cosburn Ave","East York","Ontario","Canada","M4C 2V2"
"on-public:B66052:906840","East York Collegiate Institute","650 Cosburn Ave","East York","Ontario","Canada","M4C 2V2"
"on-public:B66060:906565","Eastdale Collegiate and Vocational Institute","265 Harmony Rd N","Oshawa","Ontario","Canada","L1G 6L4"
"on-public:B66052:907103","Eastdale Collegiate Institute","701 Gerrard St E","Toronto","Ontario","Canada","M4M 1Y4"
"on-public:B66150:906972","Eastdale Secondary School","170 Wellington St","Welland","Ontario","Canada","L3B 1B3"
"on-public:B66222:927252","Eastside Secondary School","275 Farley Ave","Belleville","Ontario","Canada","K8N 4M2"
"on-public:B66109:907383","Eastview Secondary School","421 Grove St E","Barrie","Ontario","Canada","L4M 5S1"
"on-public:B66176:907499","Eastwood Collegiate Institute","760 Weber St E","Kitchener","Ontario","Canada","N2H 1H6"
"on-public:B28010:908010","Elliot Lake Secondary School","303 Mississauga Ave","Elliot Lake","Ontario","Canada","P5A 1E8"
"on-public:B66176:908142","Elmira District Secondary School","4 University Ave","Elmira","Ontario","Canada","N3B 1K2"
"on-public:B66109:908274","Elmvale District High School","25 Lawson Ave","Elmvale","Ontario","Canada","L0L 1P0"
"on-public:B66133:913260","Elsie MacGill Secondary School","1410 Bronte St.","Milton","Ontario","Canada","L9E 1B9"
"on-public:B66052:908665","Emery Collegiate Institute","3395 Weston Rd","North York","Ontario","Canada","M9M 2V9"
"on-public:B66052:954167","Emery EdVance Secondary School","3395 Weston Road","Toronto","Ontario","Canada","M9M 2V9"
"on-public:B66095:908819","Emily Carr Secondary School","4901 Rutherford Rd","Woodbridge","Ontario","Canada","L4H 3C2"
"on-public:B28002:908924","Englehart High School","61 Fourth St","Englehart","Ontario","Canada","P0J 1H0"
"on-public:B66028:920100","Erie Migration District Secondary School","170 Main St E","Kingsville","Ontario","Canada","N9Y 1A6"
"on-public:B66117:909050","Erin District High School","14 Boland Dr","Erin","Ontario","Canada","N0B 1T0"
"on-public:B66125:909092","Erindale Secondary School","2021 DUNDAS ST","MISSISSAUGA","Ontario","Canada","L5K 1R2"
"on-public:B66206:909181","Ernestown Secondary School","50 Main St","Odessa","Ontario","Canada","K0H 2H0"
"on-public:B28029:909319","Espanola High School","147 Spruce St","Espanola","Ontario","Canada","P5E 1R7"
"on-public:B66028:909440","Essex District High School","244 Talbot St N","Essex","Ontario","Canada","N8M 2E1"
"on-public:B66052:909572","Etobicoke Collegiate Institute","86 Montgomery Rd","Etobicoke","Ontario","Canada","M9A 3N5"
"on-public:B66052:924246","Etobicoke Secondary Alternative School","160 Silverhill Drive","Toronto","Ontario","Canada","M9B 3W7"
"on-public:B66010:953776","F E Madill Secondary School","231 Madill Dr","Wingham","Ontario","Canada","N0G 2W0"
"on-public:B67024:706523","F J Brennan Catholic High School","910 Raymo Rd","Windsor","Ontario","Canada","N8Y 4A6"
"on-public:B28037:925179","F J McElligott Secondary School","PO Box Box 100, 370 Pine St","Mattawa","Ontario","Canada","P0H 1V0"
"on-public:B67075:849901","Father Bressani Catholic High School","250 Ansley Grove Rd","Woodbridge","Ontario","Canada","L4L 3W4"
"on-public:B67059:707589","Father Henry Carr Catholic Secondary School","1760 Martin Grove Road","Toronto","Ontario","Canada","M9V 3S4"
"on-public:B67059:731951","Father John Redmond Catholic Secondary School","28 Colonel Samuel Smith Park Dr","Toronto","Ontario","Canada","M8V 4B7"
"on-public:B67105:710083","Father Leo J Austin Catholic Secondary School","1020 Dryden Blvd","Whitby","Ontario","Canada","L1R 2A2"
"on-public:B67083:706957","Father Michael Goetz Secondary School","330 Central Pkwy W","Mississauga","Ontario","Canada","L5B 3K6"
"on-public:B67075:706809","Father Michael McGivney Catholic High School","5300 14th Ave","Markham","Ontario","Canada","L3S 3K8"
"on-public:B66214:925365","Fellowes High School","420 Bell St","Pembroke","Ontario","Canada","K8A 2K5"
"on-public:B66087:909700","Fenelon Falls Secondary School","66 Lindsay St","Fenelon Falls","Ontario","Canada","K0M 1N0"
"on-public:B66125:910058","Fletcher's Meadow Secondary School","10750 Chinguacousy Rd","Brampton","Ontario","Canada","L7A 2Z7"
"on-public:B66176:910350","Forest Heights Collegiate Institute","255 Fischer-Hallman Rd","Kitchener","Ontario","Canada","N2M 4X8"
"on-public:B66052:910481","Forest Hill Collegiate Institute","730 Eglinton Ave W","Toronto","Ontario","Canada","M5N 1B9"
"on-public:B28053:910872","Fort Frances High School","440 McIrvine Rd","Fort Frances","Ontario","Canada","P9A 3T8"
"on-public:B67059:707708","Francis Libermann Catholic High School","4640 Finch Ave E","Toronto","Ontario","Canada","M1S 4G2"
"on-public:B66206:911135","Frontenac Secondary School","1789 Bath Rd","Kingston","Ontario","Canada","K7M 4Y3"
"on-public:B66044:911259","G A Wheable Secondary School","70 Jacqueline St","London","Ontario","Canada","N5Z 3P7"
"on-public:B66060:911291","G L Roberts Collegiate and Vocational Institute","399 Chaleur Ave","Oshawa","Ontario","Canada","L1J 1G5"
"on-public:B66192:911526","Gananoque Secondary School","175 William Street South","Gananoque","Ontario","Canada","K7G 1S8"
"on-public:B66133:901439","Garth Webb Secondary School","2820 Westoak Trails Boulevard","Oakville","Ontario","Canada","L6M 4W2"
"on-public:B66052:912301","George S Henry Academy","200 Graydon Hall Dr","North York","Ontario","Canada","M3A 3A6"
"on-public:B66052:912360","Georges Vanier Secondary School","3000 Don Mills Rd","North York","Ontario","Canada","M2J 3B6"
"on-public:B66133:912433","Georgetown District High School","70 Guelph St","Georgetown","Ontario","Canada","L7G 3Z5"
"on-public:B66001:925438","Georgian Bay Community School Secondary School","197799 Grey Rd 7","Meaford","Ontario","Canada","N4L 1W7"
"on-public:B66109:928151","Georgian Bay District Secondary School","925 Hugel Avenue","Midland","Ontario","Canada","L4R 1X8"
"on-public:B28070:912565","Geraldton Composite School","PO Box Box 909, 500 Second St W","Geraldton","Ontario","Canada","P0T 1M0"
"on-public:B66184:912697","Glebe Collegiate Institute","212 Glebe Ave","Ottawa","Ontario","Canada","K1S 2C9"
"on-public:B66044:912824","Glencoe District High School","3581 Concession Drive","Glencoe","Ontario","Canada","N0L 1M0"
"on-public:B66044:912956","Glendale High School","37 Glendale Dr","Tillsonburg","Ontario","Canada","N4G 1J6"
"on-public:B66141:913081","Glendale Secondary School","145 Rainbow Drive","Hamilton","Ontario","Canada","L8K 4G1"
"on-public:B66125:913189","Glenforest Secondary School","3575 Fieldgate Dr","Mississauga","Ontario","Canada","L4X 2J6"
"on-public:B66192:913219","Glengarry District High School","212 Main Street North","Alexandria","Ontario","Canada","K0C 1A0"
"on-public:B66176:913340","Glenview Park Secondary School","55 McKay St","Cambridge","Ontario","Canada","N1R 4G6"
"on-public:B66184:913472","Gloucester High School","2060 Ogilvie Rd","Gloucester","Ontario","Canada","K1J 7N8"
"on-public:B66010:913600","Goderich District Collegiate Institute","260 South St","Goderich","Ontario","Canada","N7A 3M5"
"on-public:B66150:914010","Governor Simcoe Secondary School","15 Glenview Ave","St Catharines","Ontario","Canada","L2N 2Z7"
"on-public:B66176:914070","Grand River Collegiate Institute","175 Indian Rd","Kitchener","Ontario","Canada","N2B 2S7"
"on-public:B66206:930348","Granite Ridge Education Centre Secondary School","14432 Road 38","Sharbot Lake","Ontario","Canada","K0H 2P0"
"on-public:B66087:914380","Gravenhurst High School","325 Mary St S","Gravenhurst","Ontario","Canada","P1P 1X7"
"on-public:B66036:890861","Great Lakes Secondary School","275 Wellington Street","Sarnia","Ontario","Canada","N7T 1H1"
"on-public:B66150:897646","Greater Fort Erie Secondary School","1640 Garrison Road","Fort Erie","Ontario","Canada","L2A 5M4"
"on-public:B66052:943940","Greenwood Secondary School","800 Greenwood Avenue","Toronto","Ontario","Canada","M4J 4B7"
"on-public:B66001:914444","Grey Highlands Secondary School","100 Toronto Rd. S.","Flesherton","Ontario","Canada","N0C 1E0"
"on-public:B66117:914770","Guelph Collegiate and Vocational Institute","155 Paisley St","Guelph","Ontario","Canada","N1H 2P3"
"on-public:B66044:914908","H B Beal Secondary School","525 Dundas St","London","Ontario","Canada","N6B 1W5"
"on-public:B66168:915033","Hagersville Secondary School","70 Parkview Rd","Hagersville","Ontario","Canada","N0A 1H0"
"on-public:B66087:915297","Haliburton Highland Secondary School","5358 County Rd. 21","Haliburton","Ontario","Canada","K0M 1S0"
"on-public:B28061:915424","Hammarskjold High School","80 Clarkson St S","Thunder Bay","Ontario","Canada","P7B 4W8"
"on-public:B66052:915688","Harbord Collegiate Institute","286 Harbord St","Toronto","Ontario","Canada","M6G 1G5"
"on-public:B66125:943916","Harold M. Brathwaite Secondary School","415 Great Lakes Dr","Brampton","Ontario","Canada","L6R 2Z4"
"on-public:B28002:916293","Hearst High School","27 10th St","Hearst","Ontario","Canada","P0L 1N0"
"on-public:B66125:916269","Heart Lake Secondary School","296 Conestoga Dr","Brampton","Ontario","Canada","L6Z 3M1"
"on-public:B66060:916331","Henry Street High School","600 HENRY ST","WHITBY","Ontario","Canada","L1N 5C7"
"on-public:B66141:891401","Hill Park System Alternative Education","Suite Suite 104, 100 James Street","Hamilton","Ontario","Canada","L8P 2Z2"
"on-public:B66184:916854","Hillcrest High School","1900 Dauphin Rd","Ottawa","Ontario","Canada","K1G 2L7"
"on-public:B66095:949230","Hodan Nalayeh Secondary School","1401 Clark Ave W","Thornhill","Ontario","Canada","L4J 7R4"
"on-public:B67075:720488","Holy Cross Catholic Academy High School","7501 Martin Grove Rd","Woodbridge","Ontario","Canada","L4L 9E4"
"on-public:B67202:715298","Holy Cross Catholic Secondary School","1085 Woodbine Rd","Kingston","Ontario","Canada","K7P 2V9"
"on-public:B67067:704261","Holy Cross Catholic Secondary School","1355 Lansdowne St W","Peterborough","Ontario","Canada","K9J 7M3"
"on-public:B67156:715247","Holy Cross Catholic Secondary School","460 Linwell Rd","St Catharines","Ontario","Canada","L2M 2P9"
"on-public:B67032:704253","Holy Cross Catholic Secondary School","367 Second St","Strathroy","Ontario","Canada","N7G 4K6"
"on-public:B67083:718114","Holy Name of Mary Secondary School","115 Glenvale Boulevard","Brampton","Ontario","Canada","L6S 3J7"
"on-public:B67024:715824","Holy Names Catholic High School","1400 Northwood","Windsor","Ontario","Canada","N9E 1A4"
"on-public:B67091:711098","Holy Trinity Catholic High School","PO Box Box 865, 100 Melbourne Dr","Bradford","Ontario","Canada","L3Z 2B3"
"on-public:B67180:724742","Holy Trinity Catholic High School","180 Katimavik Rd","Kanata","Ontario","Canada","K2L 4A7"
"on-public:B67164:720232","Holy Trinity Catholic High School","128 Evergreen Hill Rd","Simcoe","Ontario","Canada","N3Y 4N5"
"on-public:B67067:720240","Holy Trinity Catholic Secondary School","2260 Courtice Rd","Courtice","Ontario","Canada","L1E 2M8"
"on-public:B67113:704300","Holy Trinity Catholic Secondary School","2420 Sixth Line","Oakville","Ontario","Canada","L6H 5Z8"
"on-public:B67172:715190","Holy Trinity Catholic Secondary School","18044 Tyotown Rd","South Glengarry","Ontario","Canada","K6H 7S6"
"on-public:B66028:917249","Hon W C Kennedy Collegiate Institute","245 Tecumseh Rd E","Windsor","Ontario","Canada","N8X 2R2"
"on-public:B28010:917370","Hornepayne High School","162 Fourth Avenue","Hornepayne","Ontario","Canada","P0M 1Z0"
"on-public:B66052:917630","Humberside Collegiate Institute","280 Quebec Ave","Toronto","Ontario","Canada","M6P 2V3"
"on-public:B66125:917559","Humberview Secondary School","135 Kingsview Dr","Bolton","Ontario","Canada","L7E 3V8"
"on-public:B66087:917761","Huntsville High School","58 Brunel Rd","Huntsville","Ontario","Canada","P1H 2A2"
"on-public:B66176:917931","Huron Heights Secondary School","1825 Strasburg Road","Kitchener","Ontario","Canada","N2R 1S3"
"on-public:B66095:917893","Huron Heights Secondary School","40 Huron Heights Dr","Newmarket","Ontario","Canada","L3Y 3J9"
"on-public:B66044:918024","Huron Park Secondary School","900 Cromwell St","Woodstock","Ontario","Canada","N4S 5B5"
"on-public:B66087:918130","I E Weldon Secondary School","24 Weldon Rd","Lindsay","Ontario","Canada","K9V 4R4"
"on-public:B28045:918113","Ignace Secondary School","194 Davy Lake Rd","Ignace","Ontario","Canada","P0T 1T0"
"on-public:B67180:721085","Immaculata High School","140 Main St","Ottawa","Ontario","Canada","K1S 5P4"
"on-public:B66044:918156","Ingersoll District Collegiate Institute","37 Alma St","Ingersoll","Ontario","Canada","N5C 1N1"
"on-public:B66052:918237","Inglenook Community School","19 Sackville St","Toronto","Ontario","Canada","M5A 3E1"
"on-public:B66109:918253","Innisdale Secondary School","95 Little Ave","Barrie","Ontario","Canada","L4N 2Z4"
"on-public:B67083:722790","Iona Secondary School","2170 South Sheridan Way","Mississauga","Ontario","Canada","L5J 2M4"
"on-public:B28002:918288","Iroquois Falls Secondary School","44 Anson Dr","Iroquois Falls","Ontario","Canada","P0K 1E0"
"on-public:B66133:918300","Iroquois Ridge High School","1123 Glenashton Dr","Oakville","Ontario","Canada","L6H 5M1"
"on-public:B66060:918423","J Clarke Richardson Collegiate Institute","1355 HARWOOD AVE","AJAX","Ontario","Canada","L1T 4G8"
"on-public:B66176:918555","Jacob Hespeler Secondary School","355 Holiday Inn Dr","Cambridge","Ontario","Canada","N3C 1Z2"
"on-public:B67059:723096","James Cardinal McGuigan Catholic High School","1440 Finch Ave W","Toronto","Ontario","Canada","M3J 3G3"
"on-public:B66052:918547","Jarvis Collegiate Institute","495 Jarvis St","Toronto","Ontario","Canada","M4Y 2G8"
"on-public:B66125:935244","Jean Augustine Secondary School","500 Elbern Markell Drive","Brampton","Ontario","Canada","L6X 5L3"
"on-public:B67083:724564","John Cabot Catholic Secondary School","635 Willowbank Trail","Mississauga","Ontario","Canada","L4W 3L6"
"on-public:B66001:915556","John Diefenbaker Senior School","201 18Th Ave","Hanover","Ontario","Canada","N4N 3S5"
"on-public:B66117:918679","John F Ross Collegiate and Vocational Institute","21 Meyer Dr","Guelph","Ontario","Canada","N1E 4H1"
"on-public:B66125:918830","John Fraser Secondary School","2665 Erin Centre Blvd","Mississauga","Ontario","Canada","L5M 5H6"
"on-public:B66184:918954","John McCrae Secondary School","103 Malvern Dr","Nepean","Ontario","Canada","K2J 4T2"
"on-public:B66036:918938","John McGregor Secondary School","300 Cecile Ave","Chatham","Ontario","Canada","N7M 2C6"
"on-public:B67032:724513","John Paul II Catholic Secondary School","1300 Oxford St E","London","Ontario","Canada","N5V 4P7"
"on-public:B66052:906736","John Polanyi Collegiate Institute","640 Lawrence Avenue West","Toronto","Ontario","Canada","M6A 1B1"
"on-public:B66052:943062","Kapapamahchakwew - Wandering Spirit Scho","16 Phin Avenue","Toronto","Ontario","Canada","M4J 3T2"
"on-public:B28002:919063","Kapuskasing District High School","61 Devonshire St","Kapuskasing","Ontario","Canada","P5N 1C5"
"on-public:B66206:936740","Katarokwi Learning Centre","164 Van Order Dr","Kingston","Ontario","Canada","K7M 1C1"
"on-public:B66079:919195","Kenner Collegiate and Vocational Institute","633 Monaghan Rd S","Peterborough","Ontario","Canada","K9J 5J2"
"on-public:B66095:919233","Keswick High School","100 Biscayne Blvd","Keswick","Ontario","Canada","L4P 3L5"
"on-public:B66001:919454","Kincardine District Secondary School","885 River Lane","Kincardine","Ontario","Canada","N2Z 2B9"
"on-public:B66095:919586","King City Secondary School","2001 King Rd","King City","Ontario","Canada","L7B 1K2"
"on-public:B66206:931089","Kingston Secondary School","145 Kirkpatrick Street","Kingston","Ontario","Canada","K7K 2P4"
"on-public:B66052:920231","Kipling Collegiate Institute","380 The Westway","Etobicoke","Ontario","Canada","M9R 1H4"
"on-public:B28010:920533","Korah Collegiate and Vocational School","636 Goulais Ave","Sault Ste Marie","Ontario","Canada","P6C 5A7"
"on-public:B66052:920576","L'Amoreaux Collegiate Institute","2501 Bridletowne Circle","Agincourt","Ontario","Canada","M1W 2K1"
"on-public:B66206:920592","La Salle Secondary School","773 Highway 15","Kingston","Ontario","Canada","K7L 4V3"
"on-public:B28070:940666","Lake Superior High School","PO Box Box 730, 19 Hudson Dr","Terrace Bay","Ontario","Canada","P0T 2W0"
"on-public:B67156:726087","Lakeshore Catholic High School","150 Janet St","Port Colborne","Ontario","Canada","L3K 2E7"
"on-public:B66052:921092","Lakeshore Collegiate Institute","350 Kipling Ave","Etobicoke","Ontario","Canada","M8V 3L1"
"on-public:B66036:921408","Lambton Central Collegiate and Vocational Institute","4141 Dufferin Ave","Petrolia","Ontario","Canada","N0N 1R0"
"on-public:B66036:921530","Lambton Kent Composite School","231 St George St N","Dresden","Ontario","Canada","N0P 1M0"
"on-public:B66095:921661","Langstaff Secondary School","106 Garden Ave","Richmond Hill","Ontario","Canada","L4C 6M1"
"on-public:B28029:920622","Lasalle Secondary School","1545 Kennedy St","Sudbury","Ontario","Canada","P3A 2G1"
"on-public:B66184:926195","Launch Secondary School","Suite Building J213, 1385 Woodroffe Avenue","Nepean","Ontario","Canada","K2G 1V8"
"on-public:B66150:921750","Laura Secord Secondary School","349 Niagara St","St Catharines","Ontario","Canada","L2M 4V9"
"on-public:B66176:942006","Laurel Heights Secondary School","650 Laurelwood Dr","Waterloo","Ontario","Canada","N2V 2V1"
"on-public:B66052:922056","Lawrence Park Collegiate Institute","125 Chatsworth Dr","Toronto","Ontario","Canada","M4R 1S1"
"on-public:B66028:922188","Leamington District Secondary School","80 Oak Street","Leamington","Ontario","Canada","N8H 2B3"
"on-public:B66052:922315","Leaside High School","200 Hanna Rd","East York","Ontario","Canada","M4G 3N8"
"on-public:B67180:689181","Lester B Pearson Catholic High School","2072 Jasmine Cres","Gloucester","Ontario","Canada","K1J 8M5"
"on-public:B66052:922498","Lester B Pearson Collegiate Institute","150 Tapscott Rd","Scarborough","Ontario","Canada","M1B 2L2"
"on-public:B66125:952885","Lincoln M. Alexander Secondary School","3545 Morning Star Dr","Mississauga","Ontario","Canada","L4T 1Y3"
"on-public:B66184:922960","Lisgar Collegiate Institute","29 Lisgar St","Ottawa","Ontario","Canada","K2P 0B9"
"on-public:B66010:923095","Listowel District Secondary School","155 Maitland Ave S","Listowel","Ontario","Canada","N4W 2M4"
"on-public:B28029:923354","Lively District Secondary School","265 Fifth Ave","Lively","Ontario","Canada","P3Y 1M4"
"on-public:B28029:923486","Lo-Ellen Park Secondary School","275 Loach's Rd","Sudbury","Ontario","Canada","P3E 2P8"
"on-public:B28029:923613","Lockerby Composite School","1391 Ramsey View Crt","Sudbury","Ontario","Canada","P3E 5T4"
"on-public:B66044:923745","London Central Secondary School","509 Waterloo St","London","Ontario","Canada","N6B 2P8"
"on-public:B66044:923877","London South Collegiate Institute","371 Tecumseh Ave E","London","Ontario","Canada","N6C 1T4"
"on-public:B66184:900494","Longfields Davidson Heights Secondary School","149 Berrigan Dr","Nepean","Ontario","Canada","K2J 5C6"
"on-public:B66044:904503","Lord Dorchester Secondary School","61 Queen St","Dorchester","Ontario","Canada","N0L 1G2"
"on-public:B67059:728055","Loretto Abbey Catholic Secondary School","101 Mason Blvd","Toronto","Ontario","Canada","M5M 3E2"
"on-public:B67059:728063","Loretto College School","151 Rosemount Ave","Toronto","Ontario","Canada","M6H 2N1"
"on-public:B66125:924008","Lorne Park Secondary School","1324 Lorne Park Rd","Mississauga","Ontario","Canada","L5H 3B1"
"on-public:B66125:904203","Louise Arbour Secondary School","365 Father Tobin Road","Brampton","Ontario","Canada","L6R 0R4"
"on-public:B66206:924130","Loyalist Collegiate and Vocational Institute","153 Van Order Dr","Kingston","Ontario","Canada","K7M 1B9"
"on-public:B67083:798118","Loyola Catholic Secondary School","4010 SladeView Cres","Mississauga","Ontario","Canada","L5L 6B1"
"on-public:B66133:924393","M M Robinson High School","2425 Upper Middle Rd","Burlington","Ontario","Canada","L7P 3N9"
"on-public:B66214:904767","Mackenzie Community School - Secondary School","87 Brockhouse Way","Deep River","Ontario","Canada","K0J 1P0"
"on-public:B66214:924431","Madawaska Valley District School - Secondary District High School","341 John St RR#1","Barry's Bay","Ontario","Canada","K0J 1B0"
"on-public:B67059:729019","Madonna Catholic Secondary School","20 Dubray Ave","Toronto","Ontario","Canada","M3K 1V5"
"on-public:B66052:924520","Malvern Collegiate Institute","55 Malvern Ave","Toronto","Ontario","Canada","M4E 3E4"
"on-public:B28029:924679","Manitoulin Secondary School","PO Box Box 307, 107 Bay St","M'Chigeeng","Ontario","Canada","P0P 1G0"
"on-public:B28070:924652","Manitouwadge High School","200 Manitou Rd W","Manitouwadge","Ontario","Canada","P0T 2C0"
"on-public:B66095:951714","Maple High School","50 Springside Rd","Maple","Ontario","Canada","L6A 2W5"
"on-public:B66109:956413","Maple Ridge Secondary School","225 Prince William Way","Barrie","Ontario","Canada","L4N 0E5"
"on-public:B66184:906059","Maplewood Secondary School","700 Cope Drive","Stittsville","Ontario","Canada","K2S 2P8"
"on-public:B28070:924784","Marathon High School","PO Box Postal Bag H, 14 Hemlo Dr","Marathon","Ontario","Canada","P0T 2E0"
"on-public:B66052:933198","Marc Garneau Collegiate Institute","135 Overlea Blvd","Toronto","Ontario","Canada","M3C 1B3"
"on-public:B66095:924911","Markham District High School","89 Church St","Markham","Ontario","Canada","L3P 2M3"
"on-public:B66095:924849","Markville Secondary School","1000 Carlton Rd","Markham","Ontario","Canada","L3P 7P5"
"on-public:B67059:730653","Marshall McLuhan Catholic Secondary School","1107 Avenue Rd","Toronto","Ontario","Canada","M5N 3B1"
"on-public:B66052:925136","Martingrove Collegiate Institute","50 Winterton Dr","Etobicoke","Ontario","Canada","M9B 3G7"
"on-public:B67059:730882","Mary Ward Catholic Secondary School","3200 Kennedy Rd","Toronto","Ontario","Canada","M1V 3S8"
"on-public:B29033:730963","Marymount Academy Catholic School","165 D'Youville Street","Sudbury","Ontario","Canada","P3C 5E7"
"on-public:B66060:932345","Maxwell Heights Secondary School","1100 Coldstream Drive","Oshawa","Ontario","Canada","L1K 0N1"
"on-public:B66125:925349","Mayfield Secondary School","5000 Mayfield Road","Caledon","Ontario","Canada","L7C 0Z5"
"on-public:B66168:898007","McKinnon Park Secondary School","91 Haddington St","Caledonia","Ontario","Canada","N3W 2H2"
"on-public:B66125:925551","Meadowvale Secondary School","6700 Edenwood Dr","Mississauga","Ontario","Canada","L5N 3B2"
"on-public:B66044:925560","Medway High School","14405 Medway Rd","Arva","Ontario","Canada","N0M 1C0"
"on-public:B66184:925691","Merivale High School","1755 Merivale Rd","Nepean","Ontario","Canada","K2G 1E2"
"on-public:B67059:731820","Michael Power/St Joseph High School","105 Eringate Dr","Toronto","Ontario","Canada","M9C 3Z7"
"on-public:B28010:926086","Michipicoten High School","86 Magpie Rd","Wawa","Ontario","Canada","P0S 1K0"
"on-public:B66095:926140","Middlefield Collegiate Institute","525 Highglen Ave","Markham","Ontario","Canada","L3S 3L5"
"on-public:B66095:926817","Milliken Mills High School","7522 Kennedy Rd","Unionville","Ontario","Canada","L3R 9S5"
"on-public:B66133:926736","Milton District High School","396 Williams Ave","Milton","Ontario","Canada","L9T 2G4"
"on-public:B66125:925535","Mississauga Secondary School","550 Courtneypark Dr. West","Mississauga","Ontario","Canada","L5W 1L9"
"on-public:B66010:927120","Mitchell District High School","95 Frances St RR 5","Mitchell","Ontario","Canada","N0K 1N0"
"on-public:B66052:927384","Monarch Park Collegiate Institute","1 Hanson St","Toronto","Ontario","Canada","M4J 1G6"
"on-public:B67148:732320","Monsignor Doyle Catholic Secondary School","185 Myers Rd","Cambridge","Ontario","Canada","N1R 7H2"
"on-public:B67105:735060","Monsignor John Pereyma Catholic Secondary School","316 Conant St","Oshawa","Ontario","Canada","L1H 3S6"
"on-public:B67105:741310","Monsignor Paul Dwyer Catholic High School","700 Stevenson Rd N","Oshawa","Ontario","Canada","L1J 5P5"
"on-public:B67059:732443","Monsignor Percy Johnson Catholic High School","2170 Kipling Ave","Toronto","Ontario","Canada","M9W 4K9"
"on-public:B66044:927430","Montcalm Secondary School","1350 Highbury Ave N","London","Ontario","Canada","N5Y 1B5"
"on-public:B67032:733032","Mother Teresa Catholic Secondary School","1065 Sunningdale Rd E","London","Ontario","Canada","N5X 4B1"
"on-public:B67059:680354","Msgr Fraser College (Isabella Campus)","146 Isabella St","Toronto","Ontario","Canada","M4Y 1P6"
"on-public:B67059:685100","Msgr Fraser-Midland","2900 Midland Ave","Toronto","Ontario","Canada","M1S 3K8"
"on-public:B66109:927724","Nantyr Shores Secondary School","1146 Anna Maria Ave","Innisfil","Ontario","Canada","L9S 4X5"
"on-public:B66206:927902","Napanee District Secondary School","245 Belleville Rd","Napanee","Ontario","Canada","K7R 3M7"
"on-public:B66052:927708","Native Learning Centre","83 Alexander St","Toronto","Ontario","Canada","M4Y 1B7"
"on-public:B66052:915166","Native Learning Centre East","145 Guildwood Parkway","Scarborough","Ontario","Canada","M1E 1P5"
"on-public:B67059:734080","Neil McNeil High School","127 Victoria Park Ave","Toronto","Ontario","Canada","M4E 3S2"
"on-public:B66133:928160","Nelson High School","4181 New St","Burlington","Ontario","Canada","L7L 1T3"
